Country;League;Date;Statut;Home_Team;Away_Team;Home_Goal;Away_Goal;Pen.;Closing_Odds_Home;Closing_Odds_Draw;Closing_Odds_Away;FTR;Interval;Exact number of goals;Winning margin;Number of goals;BTTS
England;League One;09/01/1998;;Bournemouth;Blackpool;1;1;;1.65;3.3;5;Draw;2 | 3;2;0;- | 2.5;Yes
England;League One;09/01/1998;;Burnley;Millwall;2;1;;2.45;2.95;2.95;Home;2 | 3;3;1;- | 3.5;Yes
England;League One;09/01/1998;;Gillingham;Wrexham;4;0;;2.35;2.95;3.15;Home;4 | 6;4;3_Or_+;+ | 3.5;No
England;League One;09/02/1998;;Manchester City;Walsall;3;1;;1.6;3.3;5;Home;4 | 6;4;2;+ | 3.5;Yes
England;League One;10/03/1998;;Blackpool;York City;1;2;;1.75;3.3;4;Away;2 | 3;3;1;- | 3.5;Yes
England;League One;10/03/1998;;Bristol Rovers;Bournemouth;1;0;;2.5;2.95;2.7;Home;0 | 1;1;1;- | 2.5;No
England;League One;10/03/1998;;Fulham;Luton;1;3;;1.75;3.3;4.09;Away;4 | 6;4;2;+ | 3.5;Yes
England;League One;10/03/1998;;Gillingham;Macclesfield;2;2;;1.8;3.2;3.8;Draw;4 | 6;4;0;+ | 3.5;Yes
England;League One;10/03/1998;;Manchester City;Burnley;2;2;;1.55;3.4;5.6;Draw;4 | 6;4;0;+ | 3.5;Yes
England;League One;10/03/1998;;Millwall;Chesterfield;0;0;;1.95;3.1;3.9;Draw;0 | 1;0;0;- | 2.5;No
England;League One;10/03/1998;;Oldham;Colchester;1;0;;2.5;2.95;2.5;Home;0 | 1;1;1;- | 2.5;No
England;League One;10/03/1998;;Reading;Stoke;2;1;;3.1;3;2.29;Home;2 | 3;3;1;- | 3.5;Yes
England;League One;10/03/1998;;Walsall;Preston;1;0;;2.4;2.95;2.95;Home;0 | 1;1;1;- | 2.5;No
England;League One;10/03/1998;;Wigan;Northampton;1;0;;1.9;3.15;3.7;Home;0 | 1;1;1;- | 2.5;No
England;League One;10/03/1998;;Wrexham;Lincoln;2;1;;1.65;3.3;5;Home;2 | 3;3;1;- | 3.5;Yes
England;League One;10/03/1998;;Wycombe;Notts Co;1;1;;3.1;3;2.29;Draw;2 | 3;2;0;- | 2.5;Yes
England;League One;11/04/1998;;Reading;York City;1;0;;1.8;3.2;3.9;Home;0 | 1;1;1;- | 2.5;No
England;League One;09/05/1998;;Blackpool;Northampton;2;1;;2.04;3;3.4;Home;2 | 3;3;1;- | 3.5;Yes
England;League One;09/05/1998;;Bristol Rovers;Preston;2;2;;1.9;3.1;3.5;Draw;4 | 6;4;0;+ | 3.5;Yes
England;League One;09/05/1998;;Chesterfield;Gillingham;1;0;;1.85;3.15;4.09;Home;0 | 1;1;1;- | 2.5;No
England;League One;09/05/1998;;Lincoln;Oldham;1;3;;2.1;3;3.5;Away;4 | 6;4;2;+ | 3.5;Yes
England;League One;09/05/1998;;Luton;Burnley;1;0;;1.75;3.3;4.09;Home;0 | 1;1;1;- | 2.5;No
England;League One;09/05/1998;;Notts Co;Wigan;0;1;;1.9;3.1;3.5;Away;0 | 1;1;1;- | 2.5;No
England;League One;09/05/1998;;Stoke;Bournemouth;2;0;;1.8;3.15;3.9;Home;2 | 3;2;2;- | 2.5;No
England;League One;09/05/1998;;Wrexham;Macclesfield;2;1;;1.65;3.3;5;Home;2 | 3;3;1;- | 3.5;Yes
England;League One;09/05/1998;;York City;Colchester;1;2;;1.9;3.1;3.9;Away;2 | 3;3;1;- | 3.5;Yes
England;League One;11/06/1998;;Colchester;Macclesfield;1;1;;1.9;3.1;3.6;Draw;2 | 3;2;0;- | 2.5;Yes
England;League One;11/07/1998;;Chesterfield;Lincoln;3;0;;1.55;3.5;5.6;Home;2 | 3;3;3_Or_+;- | 3.5;No
England;League One;11/07/1998;;Fulham;Bristol Rovers;1;0;;1.55;3.5;5.6;Home;0 | 1;1;1;- | 2.5;No
England;League One;11/07/1998;;Gillingham;Wigan;3;0;;1.9;3.15;3.6;Home;2 | 3;3;3_Or_+;- | 3.5;No
England;League One;11/07/1998;;Northampton;Wycombe;1;1;;1.75;3.3;4.5;Draw;2 | 3;2;0;- | 2.5;Yes
England;League One;11/07/1998;;Oldham;Manchester City;0;3;;2.9;3;2.29;Away;2 | 3;3;3_Or_+;- | 3.5;No
England;League One;11/07/1998;;Preston;Burnley;4;1;;1.65;3.4;5;Home;4 | 6;5;3_Or_+;+ | 4.5;Yes
England;League One;11/07/1998;;Reading;Bournemouth;3;3;;2.1;3;3.5;Draw;4 | 6;6;0;+ | 4.5;Yes
England;League One;11/07/1998;;Stoke;Luton;3;1;;1.9;3.15;3.6;Home;4 | 6;4;2;+ | 3.5;Yes
England;League One;11/07/1998;;Walsall;Millwall;3;0;;1.8;3.2;4;Home;2 | 3;3;3_Or_+;- | 3.5;No
England;League One;11/07/1998;;Wrexham;Blackpool;1;1;;2.1;3;3.35;Draw;2 | 3;2;0;- | 2.5;Yes
England;League One;11/07/1998;;York City;Notts Co;1;1;;2.25;3;3.15;Draw;2 | 3;2;0;- | 2.5;Yes
England;League One;09/08/1998;;Blackpool;Notts Co;1;0;;2.1;3;3.5;Home;0 | 1;1;1;- | 2.5;No
England;League One;09/08/1998;;Bristol Rovers;Chesterfield;0;0;;1.8;3.15;4.09;Draw;0 | 1;0;0;- | 2.5;No
England;League One;09/08/1998;;Fulham;Stoke;1;0;;2.29;3;3.1;Home;0 | 1;1;1;- | 2.5;No
England;League One;09/08/1998;;Gillingham;Northampton;2;3;;1.9;3.1;3.7;Away;4 | 6;5;1;+ | 4.5;Yes
England;League One;09/08/1998;;Manchester City;Bournemouth;2;1;;1.7;3.3;4.09;Home;2 | 3;3;1;- | 3.5;Yes
England;League One;09/08/1998;;Oldham;Macclesfield;1;2;;1.65;3.3;5;Away;2 | 3;3;1;- | 3.5;Yes
England;League One;09/08/1998;;Walsall;York City;2;3;;1.8;3.15;4.09;Away;4 | 6;5;1;+ | 4.5;Yes
England;League One;09/08/1998;;Wigan;Colchester;1;1;;1.9;3.1;3.7;Draw;2 | 3;2;0;- | 2.5;Yes
England;League One;09/08/1998;;Wrexham;Luton;1;1;;2.2;3;3.3;Draw;2 | 3;2;0;- | 2.5;Yes
England;League One;09/08/1998;;Wycombe;Preston;0;1;;3.3;3;2.29;Away;0 | 1;1;1;- | 2.5;No
England;League One;29/08/1998;;Blackpool;Gillingham;2;2;;1.9;3.1;3.5;Draw;4 | 6;4;0;+ | 3.5;Yes
England;League One;29/08/1998;;Bristol Rovers;Wigan;3;2;;1.8;3.15;3.9;Home;4 | 6;5;1;+ | 4.5;Yes
England;League One;29/08/1998;;Chesterfield;Reading;1;0;;2.5;2.85;2.5;Home;0 | 1;1;1;- | 2.5;No
England;League One;29/08/1998;;Fulham;Bournemouth;0;0;;1.75;3.2;4;Draw;0 | 1;0;0;- | 2.5;No
